no,nama_barang,jumlah,satuan,harga_rp,total_harga_rp,exp_date,keterangan
1,Go Rio,17,,900,15300,,Rusak
2,Tictic,3,,1500,4500,,Rusak
3,Kriptos,3,,450,1350,,Rusak
4,Spix,3,,450,1350,,Rusak
5,P Bali,8,,450,3600,,Rusak
6,Panda,1,,450,450,,Rusak
7,Swisco,1,,1500,1500,,Rusak
8,Gula,1,kg,15500,15500,,Rusak
9,Tinta epson 664 C,1,,110000,110000,,Rusak
10,kertas a4,1,,55000,55000,,Rusak
